<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GMKN,D,17/06/16,000000,8.520.0000000,8.605.0000000,8.425.0000000,8.448.0000000,317.456
GMKN,D,20/06/16,000000,8.302.0000000,8.430.0000000,8.275.0000000,8.300.0000000,234.705
GMKN,D,21/06/16,000000,8.328.0000000,8.424.0000000,8.197.0000000,8.413.0000000,219.109
GMKN,D,22/06/16,000000,8.430.0000000,8.465.0000000,8.291.0000000,8.349.0000000,156.261
GMKN,D,23/06/16,000000,8.348.0000000,8.407.0000000,8.226.0000000,8.407.0000000,122.718
GMKN,D,24/06/16,000000,8.071.0000000,8.380.0000000,8.065.0000000,8.380.0000000,252.804
GMKN,D,27/06/16,000000,8.368.0000000,8.398.0000000,8.232.0000000,8.285.0000000,141.995
GMKN,D,28/06/16,000000,8.300.0000000,8.480.0000000,8.285.0000000,8.480.0000000,181.055
GMKN,D,29/06/16,000000,8.484.0000000,8.579.0000000,8.424.0000000,8.485.0000000,172.775
GMKN,D,30/06/16,000000,8.462.0000000,8.545.0000000,8.425.0000000,8.540.0000000,107.738
GMKN,D,01/07/16,000000,8.541.0000000,8.556.0000000,8.377.0000000,8.496.0000000,125.466
GMKN,D,04/07/16,000000,8.530.0000000,8.887.0000000,8.507.0000000,8.861.0000000,350.624
GMKN,D,05/07/16,000000,8.861.0000000,8.979.0000000,8.759.0000000,8.809.0000000,247.422
GMKN,D,06/07/16,000000,8.787.0000000,8.829.0000000,8.724.0000000,8.772.0000000,121.831
GMKN,D,07/07/16,000000,8.846.0000000,8.888.0000000,8.653.0000000,8.720.0000000,153.810
GMKN,D,08/07/16,000000,8.685.0000000,8.694.0000000,8.519.0000000,8.672.0000000,158.913
GMKN,D,11/07/16,000000,8.716.0000000,8.875.0000000,8.715.0000000,8.855.0000000,134.841
GMKN,D,12/07/16,000000,8.880.0000000,9.040.0000000,8.852.0000000,9.025.0000000,223.849
GMKN,D,13/07/16,000000,9.026.0000000,9.300.0000000,8.961.0000000,9.300.0000000,416.977
GMKN,D,14/07/16,000000,9.300.0000000,9.330.0000000,9.090.0000000,9.297.0000000,210.190
GMKN,D,15/07/16,000000,9.200.0000000,9.300.0000000,9.193.0000000,9.290.0000000,119.909
GMKN,D,18/07/16,000000,9.265.0000000,9.375.0000000,9.244.0000000,9.308.0000000,144.330
GMKN,D,19/07/16,000000,9.319.0000000,9.339.0000000,9.220.0000000,9.310.0000000,116.087
GMKN,D,20/07/16,000000,9.295.0000000,9.315.0000000,9.041.0000000,9.297.0000000,164.725
GMKN,D,21/07/16,000000,9.252.0000000,9.400.0000000,9.155.0000000,9.390.0000000,141.013
GMKN,D,22/07/16,000000,9.350.0000000,9.457.0000000,9.322.0000000,9.400.0000000,144.162
GMKN,D,25/07/16,000000,9.409.0000000,9.450.0000000,9.273.0000000,9.306.0000000,117.684
GMKN,D,26/07/16,000000,9.309.0000000,9.356.0000000,9.175.0000000,9.339.0000000,113.022
GMKN,D,27/07/16,000000,9.349.0000000,9.445.0000000,9.251.0000000,9.445.0000000,114.125
GMKN,D,28/07/16,000000,9.422.0000000,9.535.0000000,9.321.0000000,9.535.0000000,182.554
GMKN,D,29/07/16,000000,9.512.0000000,9.600.0000000,9.444.0000000,9.444.0000000,148.757
GMKN,D,01/08/16,000000,9.499.0000000,9.674.0000000,9.499.0000000,9.637.0000000,149.141
GMKN,D,02/08/16,000000,9.639.0000000,9.700.0000000,9.563.0000000,9.581.0000000,194.041
GMKN,D,03/08/16,000000,9.580.0000000,9.717.0000000,9.580.0000000,9.660.0000000,115.733
GMKN,D,04/08/16,000000,9.682.0000000,9.775.0000000,9.610.0000000,9.734.0000000,125.356
GMKN,D,05/08/16,000000,9.732.0000000,9.792.0000000,9.688.0000000,9.778.0000000,114.849
GMKN,D,08/08/16,000000,9.788.0000000,9.850.0000000,9.757.0000000,9.830.0000000,73.187
GMKN,D,09/08/16,000000,9.819.0000000,9.889.0000000,9.791.0000000,9.850.0000000,95.918
GMKN,D,10/08/16,000000,9.890.0000000,9.935.0000000,9.784.0000000,9.927.0000000,145.532
GMKN,D,11/08/16,000000,9.923.0000000,10.067.0000000,9.900.0000000,9.989.0000000,201.998
GMKN,D,12/08/16,000000,9.989.0000000,10.007.0000000,9.790.0000000,9.860.0000000,145.319
GMKN,D,15/08/16,000000,9.860.0000000,10.030.0000000,9.730.0000000,9.967.0000000,136.459
GMKN,D,16/08/16,000000,9.970.0000000,10.015.0000000,9.810.0000000,9.975.0000000,121.293
GMKN,D,17/08/16,000000,9.939.0000000,9.947.0000000,9.710.0000000,9.770.0000000,88.245
GMKN,D,18/08/16,000000,9.776.0000000,9.846.0000000,9.555.0000000,9.601.0000000,145.826
GMKN,D,19/08/16,000000,9.623.0000000,9.862.0000000,9.605.0000000,9.788.0000000,139.978
GMKN,D,22/08/16,000000,9.778.0000000,9.890.0000000,9.736.0000000,9.890.0000000,128.801
GMKN,D,23/08/16,000000,9.914.0000000,9.945.0000000,9.837.0000000,9.879.0000000,69.117
GMKN,D,24/08/16,000000,9.879.0000000,9.920.0000000,9.740.0000000,9.853.0000000,78.616
GMKN,D,25/08/16,000000,9.847.0000000,9.847.0000000,9.649.0000000,9.760.0000000,101.426
GMKN,D,26/08/16,000000,9.749.0000000,9.755.0000000,9.542.0000000,9.597.0000000,146.948
GMKN,D,29/08/16,000000,9.556.0000000,9.650.0000000,9.454.0000000,9.640.0000000,107.805
GMKN,D,30/08/16,000000,9.650.0000000,9.749.0000000,9.605.0000000,9.628.0000000,90.176
GMKN,D,31/08/16,000000,9.656.0000000,9.656.0000000,9.500.0000000,9.571.0000000,83.295
GMKN,D,01/09/16,000000,9.640.0000000,9.689.0000000,9.582.0000000,9.631.0000000,114.569
GMKN,D,02/09/16,000000,9.657.0000000,9.754.0000000,9.622.0000000,9.717.0000000,97.680
GMKN,D,05/09/16,000000,9.765.0000000,9.809.0000000,9.671.0000000,9.710.0000000,102.961
GMKN,D,06/09/16,000000,9.711.0000000,9.926.0000000,9.706.0000000,9.926.0000000,113.236
GMKN,D,07/09/16,000000,9.945.0000000,9.947.0000000,9.845.0000000,9.871.0000000,77.260
GMKN,D,08/09/16,000000,9.894.0000000,9.910.0000000,9.760.0000000,9.780.0000000,79.379
GMKN,D,09/09/16,000000,9.780.0000000,9.875.0000000,9.720.0000000,9.720.0000000,90.820
GMKN,D,12/09/16,000000,9.667.0000000,9.735.0000000,9.625.0000000,9.690.0000000,95.319
GMKN,D,13/09/16,000000,9.714.0000000,9.840.0000000,9.627.0000000,9.750.0000000,87.107
GMKN,D,14/09/16,000000,9.751.0000000,9.757.0000000,9.546.0000000,9.546.0000000,121.432
GMKN,D,15/09/16,000000,9.550.0000000,9.584.0000000,9.405.0000000,9.520.0000000,199.406
GMKN,D,16/09/16,000000,9.500.0000000,9.572.0000000,9.360.0000000,9.470.0000000,120.554
GMKN,D,19/09/16,000000,9.500.0000000,9.578.0000000,9.436.0000000,9.505.0000000,124.909
GMKN,D,20/09/16,000000,9.527.0000000,9.598.0000000,9.464.0000000,9.562.0000000,91.264
