<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LNZL,D,21/10/16,000000,10.110.0000000,10.160.0000000,10.100.0000000,10.160.0000000,119
LNZL,D,24/10/16,000000,10.190.0000000,10.190.0000000,10.100.0000000,10.140.0000000,118
LNZL,D,25/10/16,000000,10.150.0000000,10.190.0000000,10.100.0000000,10.110.0000000,540
LNZL,D,26/10/16,000000,10.120.0000000,10.130.0000000,10.100.0000000,10.110.0000000,43
LNZL,D,27/10/16,000000,10.100.0000000,10.110.0000000,10.100.0000000,10.100.0000000,49
LNZL,D,28/10/16,000000,10.100.0000000,10.120.0000000,10.100.0000000,10.100.0000000,27
LNZL,D,31/10/16,000000,10.100.0000000,10.110.0000000,10.100.0000000,10.100.0000000,56
LNZL,D,01/11/16,000000,10.100.0000000,10.100.0000000,10.100.0000000,10.100.0000000,111
LNZL,D,02/11/16,000000,10.110.0000000,10.170.0000000,10.100.0000000,10.100.0000000,111
LNZL,D,03/11/16,000000,10.110.0000000,10.170.0000000,10.100.0000000,10.110.0000000,111
LNZL,D,07/11/16,000000,10.150.0000000,10.200.0000000,10.110.0000000,10.110.0000000,54
LNZL,D,08/11/16,000000,10.110.0000000,10.180.0000000,10.100.0000000,10.120.0000000,61
LNZL,D,09/11/16,000000,10.180.0000000,10.200.0000000,10.120.0000000,10.130.0000000,120
LNZL,D,10/11/16,000000,10.150.0000000,10.200.0000000,10.140.0000000,10.140.0000000,14
LNZL,D,11/11/16,000000,10.180.0000000,10.180.0000000,10.100.0000000,10.160.0000000,48
LNZL,D,14/11/16,000000,10.110.0000000,10.110.0000000,10.100.0000000,10.100.0000000,73
LNZL,D,15/11/16,000000,10.130.0000000,10.160.0000000,10.100.0000000,10.100.0000000,28
LNZL,D,16/11/16,000000,10.150.0000000,10.170.0000000,10.100.0000000,10.170.0000000,481
LNZL,D,17/11/16,000000,10.150.0000000,10.150.0000000,10.130.0000000,10.130.0000000,2
LNZL,D,18/11/16,000000,10.150.0000000,10.160.0000000,10.110.0000000,10.160.0000000,3
LNZL,D,21/11/16,000000,10.130.0000000,10.130.0000000,10.100.0000000,10.100.0000000,15
LNZL,D,22/11/16,000000,10.100.0000000,10.140.0000000,10.100.0000000,10.100.0000000,109
LNZL,D,23/11/16,000000,10.110.0000000,10.110.0000000,10.100.0000000,10.100.0000000,76
LNZL,D,24/11/16,000000,10.120.0000000,10.140.0000000,9.980.0000000,9.980.0000000,161
LNZL,D,25/11/16,000000,10.000.0000000,10.000.0000000,9.840.0000000,10.000.0000000,19
LNZL,D,28/11/16,000000,10.040.0000000,10.100.0000000,9.910.0000000,10.100.0000000,54
LNZL,D,29/11/16,000000,10.060.0000000,10.060.0000000,9.950.0000000,9.950.0000000,16
LNZL,D,30/11/16,000000,9.920.0000000,9.940.0000000,9.890.0000000,9.900.0000000,17
LNZL,D,01/12/16,000000,9.760.0000000,9.930.0000000,9.750.0000000,9.930.0000000,14
LNZL,D,02/12/16,000000,9.800.0000000,9.800.0000000,9.750.0000000,9.750.0000000,20
